Original_Contig_Name	Bin	Sampling_Site
S1B_scaffold_1283_c1	13_May_SF_Bin93	S1B
S1B_scaffold_1516_c1	13_May_SF_Bin93	S1B
S1B_scaffold_1603_c1	13_May_SF_Bin93	S1B
S1B_scaffold_1628_c1	13_May_SF_Bin93	S1B
S1B_scaffold_1707_c1	13_May_SF_Bin93	S1B
S1B_scaffold_1854_c1	13_May_SF_Bin93	S1B
S1B_scaffold_1878_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2137_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2244_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2453_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2619_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2671_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2754_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2918_c1	13_May_SF_Bin93	S1B
S1B_scaffold_2975_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3047_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3129_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3173_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3246_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3254_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3364_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3442_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3496_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3630_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3767_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3868_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3927_c1	13_May_SF_Bin93	S1B
S1B_scaffold_3967_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4098_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4313_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4330_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4394_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4407_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4522_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4603_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4669_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4819_c1	13_May_SF_Bin93	S1B
S1B_scaffold_4912_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5012_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5129_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5152_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5179_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5223_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5342_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5400_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5457_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5468_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5545_c1	13_May_SF_Bin93	S1B
S1B_scaffold_5584_c1	13_May_SF_Bin93	S1B
