Bin	Sampling_Site
13_Jan_SF_Bin10	S1A
13_Jan_SF_Bin12	S1A
13_Jan_SF_Bin13	S1A
13_Jan_SF_Bin14	S1A
13_Jan_SF_Bin1	S1A
13_Jan_SF_Bin21	S1A
13_Jan_SF_Bin23	S1A
13_Jan_SF_Bin29	S1A
13_Jan_SF_Bin2	S1A
13_Jan_SF_Bin30	S1A
13_Jan_SF_Bin31	S1A
13_Jan_SF_Bin32	S1A
13_Jan_SF_Bin36	S1A
13_Jan_SF_Bin38	S1A
13_Jan_SF_Bin40	S1A
13_Jan_SF_Bin42	S1A
13_Jan_SF_Bin43	S1A
13_Jan_SF_Bin44	S1A
13_Jan_SF_Bin46	S1A
13_Jan_SF_Bin49	S1A
13_Jan_SF_Bin52	S1A
13_Jan_SF_Bin53	S1A
13_Jan_SF_Bin54	S1A
13_Jan_SF_Bin58	S1A
13_Jan_SF_Bin5	S1A
13_Jan_SF_Bin61	S1A
13_Jan_SF_Bin62	S1A
13_Jan_SF_Bin63	S1A
13_Jan_SF_Bin8	S1A
13_July_SF_Bin10	S1C
13_July_SF_Bin11	S1C
13_July_SF_Bin18	S1C
13_July_SF_Bin19	S1C
13_July_SF_Bin1	S1C
13_July_SF_Bin23_1	S1C
13_July_SF_Bin23_2	S1C
13_July_SF_Bin24	S1C
13_July_SF_Bin26	S1C
13_July_SF_Bin27	S1C
13_July_SF_Bin28	S1C
13_July_SF_Bin2	S1C
13_July_SF_Bin30	S1C
13_July_SF_Bin31	S1C
13_July_SF_Bin32	S1C
13_July_SF_Bin33	S1C
13_July_SF_Bin34	S1C
13_July_SF_Bin35	S1C
13_July_SF_Bin36	S1C
13_July_SF_Bin37	S1C
