	Bin	Sample	NormalizedCov	RelativeAbundance	RelativeAbundanceReadable
0	AB_1215_Bin_45	AB_3033	9.408130743638278e-08	1.5355095261044543e-16	1.5355095261044544e-08
1	AB_1215_Bin_149	AB_3033	3.2126640323681647e-06	5.2434180181968484e-15	5.243418018196848e-07
2	AB_1215_Bin_125	AB_3033	1.0710301327971383e-06	1.7480379646796233e-15	1.7480379646796234e-07
3	AB_1215_Bin_136	AB_3033	3.4568714012652165e-07	5.641991073253389e-16	5.6419910732533895e-08
4	AB_1215_Bin_148	AB_3033	0.0022353843005387935	3.648390930687974e-12	0.00036483909306879745
5	AB_1215_Bin_72	AB_3033	2.036552926713705e-07	3.323876447507236e-16	3.323876447507236e-08
7	AB_1215_Bin_3	AB_3033	1.970971175180323e-07	3.216839877797342e-16	3.216839877797342e-08
8	AB_1215_Bin_141	AB_3033	1.8450909009442944e-07	3.011389543926541e-16	3.011389543926541e-08
9	AB_1215_Bin_5	AB_3033	2.05232596978588e-07	3.3496197737353047e-16	3.3496197737353044e-08
10	AB_1215_Bin_133	AB_3033	2.866778923061851e-07	4.678895803583007e-16	4.678895803583007e-08
11	AB_1215_Bin_4	AB_3033	8.500485949958321e-07	1.3873719985773102e-15	1.3873719985773101e-07
12	AB_1215_Bin_21	AB_3033	4.2268377724802026e-08	6.898660150243149e-17	6.898660150243149e-09
13	AB_1215_Bin_67	AB_3033	3.005190448445649e-05	4.904798505767692e-14	4.904798505767692e-06
14	AB_1215_Bin_106	AB_3033	1.4858656610000764e-07	2.425094781468558e-16	2.425094781468558e-08
15	AB_1215_Bin_44	AB_3033	7.495979369772256e-07	1.2234255712858644e-15	1.2234255712858644e-07
16	AB_1215_Bin_126	AB_3033	6.33535938551508e-05	1.0339997341482193e-13	1.0339997341482193e-05
17	AB_1215_Bin_50	AB_3033	3.2783444769214044e-08	5.350615665676898e-17	5.3506156656768975e-09
18	AB_1215_Bin_131	AB_3033	8.398339137740418e-08	1.370700524987527e-16	1.370700524987527e-08
